,행정동,1218_유동인구,1218_거주인구,1218_유동인구/거주인구,2103_유동인구,2103_거주인구,2103_유동인구/거주인구,카메라대수,면적대비_CCTV,보정_범죄자수,보정_면적대비범죄자수,유흥매출액,유흥+일반매출액,여성1인가구수,cctv_re
33,복수동,2034296.2,22810,89.18440157825516,1284457.87,22810,56.311173499999995,48,26.966292134831466,0.1,0.05617977528089888,1048365955.0,29102921781,1106,94.06297266822224
34,도마1동,1804643.133333333,15172,118.94563230512348,969365.0,15172,63.891708400000006,72,44.171779141104295,2.0,1.2269938650306749,288257402.0,27376497003,1673,76.85748566194941
35,도마2동,1510460.066666667,18524,81.54070755056503,528237.267,18524,28.516371600000003,59,33.333333333333336,1.0,0.5649717514124294,239207934.0,28259733107,1504,87.69593146972036
36,정림동,949937.0666666669,16870,56.3092511361391,359519.133,16870,21.3111519,64,10.596026490066226,2.0,0.3311258278145696,630113281.0,18908406156,602,110.43323831298748
37,변동,1233421.6666666665,16529,74.62167503579566,671111.067,16529,40.60203679999999,60,40.54054054054054,0.1,0.06756756756756757,136478213.0,13391086771,905,80.48872426251316
38,용문동,2066170.6666666663,12857,160.70394856239142,1144520.07,12857,89.0192165,47,47.95918367346939,2.0,2.0408163265306123,2155030235.0,40603286956,1566,73.07008112958431
39,탄방동,4421357.6,25889,170.78132025184442,1736094.4,25889,67.0591525,60,36.36363636363637,1.0,0.6060606060606061,5421049102.0,165016646170,2669,84.66562843941733
40,괴정동,1833579.4,19178,95.60847846490772,987478.6,19178,51.49017620000001,57,45.23809523809525,1.0,0.7936507936507936,1768378574.0,49360643618,1905,75.79116956495847
41,가장동,1020226.8666666669,12561,81.2217870127113,575900.4,12561,45.8482923,33,57.89473684210528,2.0,3.5087719298245617,1631940103.0,27357426711,551,63.134527960948425
42,내동,1093780.933333333,24249,45.10622843553686,454335.867,24249,18.7362723,47,47.47474747474747,0.1,0.10101010101010102,40118943.0,15153231052,810,73.55451732830625
43,갈마1동,1731653.7999999996,21972,78.81184234480247,897189.8670000001,21972,40.8333273,70,46.66666666666666,0.1,0.06666666666666668,1715698092.0,51150577233,1658,74.36259813638705
