행정동,1218_유동인구,1218_거주인구,1218_유동인구/거주인구,2103_유동인구,2103_거주인구,2103_유동인구/거주인구,카메라대수,면적대비_CCTV,보정_범죄자수,보정_면적대비범죄자수,유흥매출액,유흥+일반매출액,여성1인가구수
진잠동,2558894.1333333333,35462,72.15876525106687,662546.333,35462,18.683276,148,3.1543052003410064,4.0,0.08525149190110827,504944184.0,42701797334,1409
온천1동,6293679.4,34114,184.48963475405992,2459150.87,34114,72.0862657,201,15.581395348837207,10.0,0.7751937984496123,21321548799.0,352724203444,3073
온천2동,6381447.133333333,40087,159.18994021336925,2322480.0,40087,57.9359892,135,14.966740576496676,5.0,0.5543237250554324,2177969106.0,189237793238,3468
노은1동,1873089.6,22304,83.97998565279771,477785.267,22304,21.4215059,51,5.543478260869565,1.0,0.10869565217391305,1453897292.0,85850556036,901
노은2동,1677268.5999999999,25127,66.75164564014804,437752.533,25127,17.4215996,79,6.734867860187554,1.0,0.08525149190110827,53309481.0,18076648171,784
노은3동,1104251.2666666666,36635,30.141975342341112,339296.067,36635,9.26152768,37,4.862023653088042,1.0,0.1314060446780552,589698564.0,67756747591,1009
신성동,3319655.0,25516,130.10091707164133,888398.067,25516,34.8172937,70,2.2479126525369297,0.1,0.0032113037893384717,1225557074.0,91681894483,895
전민동,2308258.466666667,27377,84.31378407665802,650611.8,27377,23.7649048,42,4.656319290465632,1.0,0.11086474501108648,1889663864.0,44813139301,807
구즉동,1530903.6,28249,54.1931962193352,862141.267,28249,30.5193553,61,2.2181818181818183,2.0,0.07272727272727272,2467234133.0,35439339131,1089
관평동,2559229.5999999996,29033,88.14898908139013,1072954.0,29033,36.95636,56,7.777777777777778,0.1,0.01388888888888889,3869342713.0,117004488824,629
원신흥동,2533971.866666667,46535,54.453032484509876,1023972.6,46535,22.0043537,42,10.169491525423727,1.0,0.24213075060532688,182190.2,54990506663,1722
오정동,3613588.6,15058,239.97799176517466,1296809.0,15058,86.1209324,120,38.96103896103896,2.0,0.6493506493506493,937023432.0,60431879424,1918
대화동,859777.1333333333,7483,114.89738518419529,247733.333,7483,33.1061517,43,13.650793650793652,1.0,0.31746031746031744,10825783.0,5001388610,492
회덕동,1952539.066666667,13787,141.62174995768962,424891.067,13787,30.8182394,78,4.645622394282312,2.0,0.11911852293031568,182190.2,10718563800,716
비래동,1035052.4000000001,16967,61.00385454116816,381051.933,16967,22.4584154,64,19.104477611940297,1.0,0.29850746268656714,275830929.0,11011472553,683
송촌동,1414668.6,28513,49.61486339564409,590183.6,28513,20.698755,104,54.16666666666667,0.1,0.052083333333333336,1656446658.0,53467364366,729
중리동,1549303.0,20031,77.34526483949878,621846.333,20031,31.0441982,179,120.13422818791945,3.0,2.0134228187919465,2995885912.0,58010370084,1376
신탄진동,782792.4,11296,69.2981940509915,215261.0,11296,19.0563916,99,4.3118466898954715,0.1,0.004355400696864111,4258148837.0,36740055809,612
석봉동,1479701.066666667,14441,102.46527710454033,639674.333,14441,44.295709,51,41.80327868852459,0.1,0.0819672131147541,485991433.0,11092017544,372
덕암동,1329245.4,14007,94.89865067466266,318152.667,14007,22.7138336,81,13.02250803858521,1.0,0.1607717041800643,420854809.0,30424713246,609
목상동,532337.6,6904,77.10567786790266,154313.467,6904,22.3513132,44,7.84313725490196,1.0,0.17825311942959002,272062386.0,13000500851,282
법1동,463998.4666666667,9938,46.68932045347823,184397.8,9938,18.5548199,20,25.64102564102564,1.0,1.282051282051282,182190.2,1470038586,1017
법2동,691231.6666666667,17027,40.59620994107399,242455.333,17027,14.2394628,33,17.64705882352941,1.0,0.53475935828877,1852267160.0,31208655626,937
