,1218_유동인구/거주인구,2103_유동인구/거주인구,면적대비_CCTV,보정_면적대비범죄자수,유흥매출액,여성1인가구수
월평2동,0.00891389456687993,0.00849769606557162,0.016815940989322303,0.025910092302115568,0.00450419776327229,0.017250194779898715
월평3동,0.004307630518497257,0.004489779118702386,0.012980845690132069,0.0019000734354884747,1.6190627679066118e-06,0.005088624853915075
가수원동,0.006900958615185159,0.00567017409458701,0.01611426711385399,0.0016931347444946808,0.012032411510198732,0.013878067783404745
관저1동,0.011587646969946741,0.013995885622273713,0.014613464657991253,0.0016931347444946808,0.005628206884207062,0.008801616673159327
관저2동,0.007450356881952261,0.008183593982689901,0.015445989996915932,0.0037501449384640968,0.03330436486143711,0.014450233735878453
기성동,0.003370624789613957,0.0004682050139029407,0.017342925918531583,3.4785721967852445e-05,1.6190627679066118e-06,0.0026538761199844173
둔산1동,0.02228314937504797,0.019547454480149145,0.015313438389074532,0.0015981926092893698,0.02520050637176257,0.005234709777950914
둔산2동,0.024751698988228425,0.024087997121923974,0.01590820455443791,0.007125275383081781,0.0549657639565913,0.01819974678613167
만년동,0.01452755530852596,0.011406767000125951,0.015445989996915932,0.0010000386502570918,0.003285091021353516,0.008290319439033888
둔산3동,0.009041889799102651,0.010173856023520748,0.012660039239249236,0.02280088122586169,0.002939029322575333,0.011345929100116864
진잠동,0.009564535370154436,0.0066046765610427785,0.017016771347146513,0.0014578568558735099,0.004487268405135872,0.017152804830541483
온천1동,0.02445382249672003,0.025483029284687108,0.0152227605387435,0.013256326294105631,0.1894774022673273,0.037409914296844544
온천2동,0.02110038618934141,0.02048080164902919,0.015311493885958226,0.009479302061749595,0.019354875779133297,0.0422185430463576
노은1동,0.011131420283682992,0.00757266112859274,0.01667186338860465,0.0018587674912387247,0.0129202941422615,0.010968543046357616
노은2동,0.0088478298307879,0.0061586646011112965,0.01649987092756549,0.0014578568558735099,0.0004737433509789489,0.009544215037008178
노은3동,0.003995273315515634,0.003274018688561091,0.01677024015397671,0.0022471302127984585,0.005240451952192781,0.012283307362680173
신성동,0.017244680097998816,0.012308171415940785,0.01714762080651198,5.491541721064957e-05,0.010891111752761496,0.010895500584339695
전민동,0.011175664760710914,0.00840107001084676,0.01679993623290351,0.0018958604123499188,0.016792804476096622,0.009824211141410204
구즉동,0.007183226324038125,0.0107888183318625,0.01715191283606503,0.0012436844305015464,0.02192547636727251,0.013257206856252429
관평동,0.011684015392708613,0.013064347209421885,0.01634931342440181,0.0002375091794360594,0.034385541718978625,0.007657284768211917
원신흥동,0.007217667228619363,0.007778702146416133,0.016004038684892325,0.0041405958642606,1.6190627679066118e-06,0.02096318659914297
오정동,0.03180872042794145,0.030444387999054863,0.011847607318182348,0.011104325272335245,0.008327010736072936,0.023349240358395
대화동,0.015229474904523059,0.011703270034619014,0.01550146780421146,0.005428781244252783,9.620507683034741e-05,0.005989481885469418
회덕동,0.018771749099926054,0.010894476076775031,0.01680148046788853,0.002037005469850657,1.6190627679066118e-06,0.008716400467471757
비래동,0.008085968800112364,0.007939216323226302,0.01471415815609604,0.005104674901312317,0.002451216296930305,0.008314666926373195
송촌동,0.006576375221803041,0.007317163327848233,0.009652478762222694,0.0008906594228852226,0.014720281941570613,0.008874659135177248
중리동,0.010251998058689213,0.010974354187558249,0.00012921008396013194,0.03443086091153614,0.02662342616131464,0.016751071289442927
신탄진동,0.009185370977211034,0.006736575691467199,0.01684966529749041,7.448023048517541e-05,0.03784073041355426,0.007450331125827811
석봉동,0.013581617751761092,0.015658861485912414,0.011437293340392554,0.0014016935179833015,0.004318841708784993,0.004528632645111022
덕암동,0.01257867284452073,0.008029508550285612,0.01559216893903845,0.0027493023986167662,0.0037399945328911695,0.0074138098948188565
목상동,0.010220241167394216,0.007901354901601095,0.016339877940552316,0.003048246153190067,0.002417726528213032,0.0034329957148422287
법1동,0.006188598922556604,0.006559266377475778,0.013770523107689812,0.021923924255636225,1.6190627679066118e-06,0.012380697312037395
법2동,0.00538096632508379,0.005033755653826482,0.014924555363128056,0.0091447384595702,0.016460472599361106,0.01140679781846513
